Putative_species,Original_order,Accession,Style_length,Stamen_length,Flower_length,Flower_width,Pedicel_length,Tooth_length,Tooth_width,Sinus_depth,Leaf_width,Leaf_length,Free_stipule_length,Petiole_hair_length,Laminar_hairs,Viscid,Pendent_fls,Calciphile,Bloom_date,Axis_3,Notes
parviflora,121,Bain_44_TENN,2.32,1.44,2.52,1.61,4.28,4.52,7.59,4.75,10.8,6.8,1.34,1.1,0.58,0,1,0,10/14/34,-0.31583,
parviflora,122,Estes_08529_TENN,2.51,1.83,2.93,1.2,8.79,2.62,8.67,4.13,8.2,5.2,1.73,1.35,0.71,0,1,0,10/12/05,1.1378,
parviflora,123,Hinkle_49591_TENN,1.9,1.44,1.92,1.69,6.56,1.22,4.36,1.38,7.4,4.5,1.91,1.29,0.47,0,1,0,8/26/74,-0.32653,
parviflora,124,McFarland_92_TENN,2.08,1.53,2.95,1.98,13.87,1.09,3.99,2.69,6.3,3.9,1.94,1.43,0.44,0,1,0,8/29/40,-0.69727,
parviflora,125,McNeilus_89-1100_TENN,2.2,1.96,2.29,1.57,7.23,2.34,8.41,4.42,9.8,6.8,1.44,1.44,0.63,0,1,0,10/29/89,0.43156,
parviflora,126,Gilbert_1056_TENN,2.32,1.7,3.15,2.13,14.3,2.38,5.26,2.41,7.1,4.8,0.56,0.61,0.44,0,1,0,9/21/40,-0.34892,
parviflora,127,Pounds_CG84-82_TENN,1.81,1.44,1.78,1.43,6.87,0.97,4.88,3.23,7.8,5.1,0.88,0.38,0.38,0,1,0,8/20/84,2.099,
parviflora,128,Hinkle_48193_TENN,2.09,1.96,2.45,1.62,10.23,1.31,6.44,2.18,9.2,5.7,2.07,0.93,0.42,0,1,0,7/31/74,0.9302,
parviflora,129,Sponberg_17226_TENN,2.25,2.65,2.37,1.45,9.69,1.32,3.82,4.62,13.9,8.3,2.49,1.16,0.22,0,1,0,9/20/82,1.2652,
parviflora,130,Rock_1021_TENN,2.61,0.97,3.07,2.01,15.18,1.4,5.12,2.97,9.6,5.1,1.5,0.81,0.32,0,1,0,10/5/57,0.098755,
parviflora,131,Shafer_22006_TENN,2.06,1.73,2.47,1.63,10.58,1.27,4.32,2.64,5.2,3.2,0.83,0.68,0.55,0,1,0,11/3/62,0.78882,
missouriensis,132,Rose_s.n._F,0.64,0.87,1.52,1.38,3.11,1.87,4.75,5.17,6.6,4.8,1.75,1.52,0.7,1,0,0,8/21/1895,-0.072601,
missouriensis,133,French_s.n._F_1422942,0.93,0.95,2.37,1.41,4.11,1.6,5.29,5.23,7.9,6,1.69,1.4,0.34,1,0,0,8/26/1873,0.21815,
missouriensis,134,Winterringer_5474_F,0.77,1.07,2.44,1.31,4.84,4.08,5.35,6.47,10.7,7.1,3.07,1.23,0.6,1,0,0,10/20/50,-0.063514,
missouriensis,135,Seymour_s.n._F,1.01,0.97,1.8,1.17,3.87,2.59,3.99,4.45,6.7,4.3,2.23,1.47,0.61,1,0,0,8/19/1880,-0.095634,
missouriensis,136,French_s.n._F_63373,1.02,1.09,2.89,1.37,6.37,2.78,6.73,6.31,11.5,7.7,1.67,1.86,0.83,1,0,0,7/25/1872,0.3793,
missouriensis,137,French_s.n._F_205814,1.16,1.49,2.47,1.49,3.55,3.92,6.78,6.61,7.9,5,2.49,1.9,0.63,1,0,0,9/9/1878,-0.38426,
missouriensis,138,Weik_67_F,1.07,1.33,1.7,1.72,4.17,2.32,2.76,3.06,3.8,3,1.79,0.98,0.5,1,0,0,10/11/60,-2.0634,
missouriensis,139,Rouffa_S8,0.82,1.12,1.91,1.4,2.91,2.47,9.24,4.28,8.2,5.6,2.95,0.8,0.43,1,0,0,8/21/58,0.93844,
missouriensis,140,Steyermark_66966_F,1.08,0.71,1.88,1.26,1.91,2.54,6.33,2.88,9.6,5.8,4,2.46,1.84,1,0,0,10/21/48,-0.89996,
puberula,141,Bush_103_F,2.49,2.26,3.07,2.2,13.81,2.8,5.92,4,6.8,4.8,0.91,0.22,0.67,1,1,1,10/21/1893,0.02638,
puberula,142,Eggleston_5467_F,2.25,1.92,3.22,1.93,6.15,2.64,5.36,2.23,7.4,5.1,1.32,0.14,0.56,1,1,1,10/11_to_12/1909,0.17646,
puberula,143,Steyermark_72496_F,2.39,2.03,2.85,2.48,7.55,1.84,5.42,2.58,6.2,4.6,1.28,0.31,0.65,1,1,1,8/20/51,-0.96834,
puberula,144,Steyermark_66614_F,1.61,1.54,3.01,1.69,6.84,1.54,3.67,2.69,4.55,2.8,1.35,0.26,0.61,1,1,1,10/2/48,0.47154,
parviflora,145,Spooner_2341e_F,2.18,1.84,2.74,1.5,6.98,1.68,3.67,2.2,6.5,4.25,1.27,1.96,0.65,0,1,0,10/2/82,-0.6693,
missouriensis,146,Steyermark_66966_NY_(supposed_type),1.2,1.51,1.6,1.68,2.91,2.71,5.72,2.69,6.9,4.7,2.39,1.74,0.87,1,0,1,,-1.2118,
saurensis,147,Radford_18419__E_of_Low_Gap,2.16,1.79,3.57,2.31,9.22,1.83,5.09,3.94,13.65,10.1,2.37,3.62,0.72,1,1,0,,-2.2761,
puberula,148,Bush_103_NY,2.25,1.67,3.23,2.44,10.56,2.63,7.88,3.58,7.5,4.6,1.78,0.16,0.36,1,1,1,10/21/1893,0.29862,
puberula,149,Moore_56-270_NY,2.17,2.3,2.58,1.79,12.73,3.55,4.81,3.72,6.1,4.7,1.6,0.22,0.72,1,1,1,9/28/56,-0.41867,
missouriensis,150,Harper_3540_NY,1.3,1.4,2.15,1.34,5.78,1.91,6.86,3.55,7.6,5.7,1.75,0.89,0.9,1,0,0,10/18/36,0.62121,
